VacancyID,WaitlistName,ProviderName,DateVacancyReported,DateBedAvailable,IsPrivateRoom,RoomGenderLimitation
51,PRIORITY ACCESS RICHMOND,Care Home 024,2024-05-08,2024-05-13,0,
52,PRIORITY ACCESS NORTH SHORE,Care Home 006,2022-09-30,2022-10-01,0,
53,PRIORITY ACCESS RICHMOND,Care Home 017,2024-03-24,2024-03-28,0,
54,PRIORITY ACCESS NORTH SHORE,Care Home 016,2023-09-07,2023-09-09,1,Female
55,PRIORITY ACCESS VANCOUVER,Care Home 018,2024-07-16,2024-07-17,0,
56,PRIORITY ACCESS RICHMOND,Care Home 022,2023-06-20,2023-06-27,0,
57,PRIORITY ACCESS RICHMOND,Care Home 024,2024-05-26,2024-06-02,0,
58,PRIORITY ACCESS RICHMOND,Care Home 024,2023-04-23,2023-04-27,1,
59,PRIORITY ACCESS NORTH SHORE,Care Home 010,2022-07-01,2022-07-08,0,
60,PRIORITY ACCESS NORTH SHORE,Care Home 004,2024-05-17,2024-05-19,0,Female
61,PRIORITY ACCESS RICHMOND,Care Home 017,2024-01-13,2024-01-17,0,
62,PRIORITY ACCESS NORTH SHORE,Care Home 001,2024-05-04,2024-05-10,0,
63,PRIORITY ACCESS COAST,Care Home 029,2024-10-22,2024-10-27,0,
64,PRIORITY ACCESS NORTH SHORE,Care Home 001,2024-03-31,2024-04-04,0,
65,PRIORITY ACCESS NORTH SHORE,Care Home 001,2023-07-04,2023-07-07,0,
66,PRIORITY ACCESS NORTH SHORE,Care Home 001,2023-02-16,2023-02-20,1,
67,PRIORITY ACCESS NORTH SHORE,Care Home 028,2023-05-22,2023-05-29,0,
68,PRIORITY ACCESS RICHMOND,Care Home 024,2024-09-08,2024-09-09,0,Male
69,PRIORITY ACCESS NORTH SHORE,Care Home 004,2022-08-24,2022-08-29,0,
70,PRIORITY ACCESS RICHMOND,Care Home 026,2022-05-01,2022-05-03,0,
71,PRIORITY ACCESS NORTH SHORE,Care Home 008,2024-08-08,2024-08-10,0,Female
72,PRIORITY ACCESS NORTH SHORE,Care Home 028,2022-05-09,2022-05-10,0,
73,PRIORITY ACCESS NORTH SHORE,Care Home 001,2025-02-07,2025-02-13,0,
74,PRIORITY ACCESS NORTH SHORE,Care Home 008,2022-05-31,2022-06-05,0,Female
75,PRIORITY ACCESS NORTH SHORE,Care Home 025,2024-09-18,2024-09-23,1,
76,PRIORITY ACCESS VANCOUVER,Care Home 014,2022-11-01,2022-11-02,0,
77,PRIORITY ACCESS NORTH SHORE,Care Home 004,2023-11-05,2023-11-10,1,
78,PRIORITY ACCESS NORTH SHORE,Care Home 025,2024-05-22,2024-05-23,0,
79,PRIORITY ACCESS NORTH SHORE,Care Home 006,2023-10-09,2023-10-16,1,
80,PRIORITY ACCESS RICHMOND,Care Home 003,2024-01-17,2024-01-18,0,
81,PRIORITY ACCESS NORTH SHORE,Care Home 002,2023-06-13,2023-06-15,1,
82,PRIORITY ACCESS RICHMOND,Care Home 012,2025-02-07,2025-02-12,0,
83,PRIORITY ACCESS VANCOUVER,Care Home 014,2024-10-16,2024-10-21,0,
84,PRIORITY ACCESS RICHMOND,Care Home 017,2023-02-15,2023-02-18,0,
85,PRIORITY ACCESS VANCOUVER,Care Home 018,2023-07-16,2023-07-23,0,
86,PRIORITY ACCESS COAST,Care Home 021,2023-06-05,2023-06-12,1,
87,PRIORITY ACCESS RICHMOND,Care Home 015,2025-01-04,2025-01-06,0,
88,PRIORITY ACCESS RICHMOND,Care Home 024,2024-01-11,2024-01-14,0,
89,PRIORITY ACCESS COAST,Care Home 020,2024-09-11,2024-09-13,0,
90,PRIORITY ACCESS NORTH SHORE,Care Home 028,2022-05-09,2022-05-12,1,
91,PRIORITY ACCESS VANCOUVER,Care Home 013,2022-07-11,2022-07-16,0,
92,PRIORITY ACCESS RICHMOND,Care Home 017,2024-02-20,2024-02-25,0,
93,PRIORITY ACCESS COAST,Care Home 020,2023-03-31,2023-04-04,0,
94,PRIORITY ACCESS NORTH SHORE,Care Home 016,2023-04-20,2023-04-27,0,
95,PRIORITY ACCESS NORTH SHORE,Care Home 016,2022-08-15,2022-08-22,0,
96,PRIORITY ACCESS VANCOUVER,Care Home 009,2024-07-30,2024-08-01,0,
97,PRIORITY ACCESS NORTH SHORE,Care Home 010,2022-05-15,2022-05-16,0,
98,PRIORITY ACCESS NORTH SHORE,Care Home 025,2022-05-30,2022-05-31,1,
99,PRIORITY ACCESS VANCOUVER,Care Home 009,2024-05-18,2024-05-21,1,
100,PRIORITY ACCESS VANCOUVER,Care Home 014,2024-08-28,2024-09-02,1,
101,PRIORITY ACCESS RICHMOND,Care Home 026,2022-12-11,2022-12-16,0,
102,PRIORITY ACCESS NORTH SHORE,Care Home 016,2025-01-15,2025-01-16,0,
103,PRIORITY ACCESS NORTH SHORE,Care Home 030,2024-06-29,2024-07-04,0,
104,PRIORITY ACCESS NORTH SHORE,Care Home 028,2024-02-12,2024-02-15,0,
105,PRIORITY ACCESS NORTH SHORE,Care Home 001,2023-08-11,2023-08-13,0,
106,PRIORITY ACCESS NORTH SHORE,Care Home 028,2025-02-17,2025-02-24,0,
107,PRIORITY ACCESS RICHMOND,Care Home 017,2024-02-23,2024-02-24,0,
108,PRIORITY ACCESS NORTH SHORE,Care Home 010,2022-06-25,2022-07-01,0,
109,PRIORITY ACCESS VANCOUVER,Care Home 023,2024-12-04,2024-12-06,0,
110,PRIORITY ACCESS COAST,Care Home 029,2022-05-18,2022-05-23,0,
111,PRIORITY ACCESS VANCOUVER,Care Home 007,2025-02-24,2025-03-01,1,
112,PRIORITY ACCESS VANCOUVER,Care Home 009,2022-12-16,2022-12-22,0,
113,PRIORITY ACCESS RICHMOND,Care Home 026,2023-06-08,2023-06-13,1,
114,PRIORITY ACCESS RICHMOND,Care Home 022,2023-04-26,2023-05-02,0,
115,PRIORITY ACCESS RICHMOND,Care Home 017,2023-03-19,2023-03-23,0,
116,PRIORITY ACCESS RICHMOND,Care Home 012,2023-09-20,2023-09-24,0,
117,PRIORITY ACCESS NORTH SHORE,Care Home 028,2023-05-15,2023-05-18,0,
118,PRIORITY ACCESS NORTH SHORE,Care Home 016,2022-07-21,2022-07-22,0,Female
119,PRIORITY ACCESS RICHMOND,Care Home 012,2023-05-22,2023-05-24,1,
120,PRIORITY ACCESS NORTH SHORE,Care Home 008,2022-04-27,2022-05-02,0,
121,PRIORITY ACCESS NORTH SHORE,Care Home 028,2022-08-30,2022-09-04,0,
122,PRIORITY ACCESS NORTH SHORE,Care Home 006,2024-04-18,2024-04-22,0,Male
123,PRIORITY ACCESS COAST,Care Home 020,2024-10-23,2024-10-27,0,
124,PRIORITY ACCESS NORTH SHORE,Care Home 016,2024-05-07,2024-05-09,0,
125,PRIORITY ACCESS COAST,Care Home 029,2022-06-18,2022-06-19,0,
126,PRIORITY ACCESS COAST,Care Home 020,2023-11-11,2023-11-18,0,Male
127,PRIORITY ACCESS COAST,Care Home 020,2022-09-12,2022-09-15,0,
128,PRIORITY ACCESS COAST,Care Home 020,2023-04-05,2023-04-06,0,
129,PRIORITY ACCESS NORTH SHORE,Care Home 004,2025-01-20,2025-01-24,0,Male
130,PRIORITY ACCESS NORTH SHORE,Care Home 010,2025-02-05,2025-02-07,1,
131,PRIORITY ACCESS VANCOUVER,Care Home 013,2022-11-23,2022-11-27,0,
132,PRIORITY ACCESS VANCOUVER,Care Home 014,2024-08-24,2024-08-26,1,
133,PRIORITY ACCESS NORTH SHORE,Care Home 002,2023-04-28,2023-04-29,0,
134,PRIORITY ACCESS COAST,Care Home 020,2024-07-03,2024-07-04,0,
135,PRIORITY ACCESS RICHMOND,Care Home 026,2023-05-12,2023-05-13,0,
136,PRIORITY ACCESS NORTH SHORE,Care Home 008,2024-09-30,2024-10-04,0,
137,PRIORITY ACCESS NORTH SHORE,Care Home 001,2023-10-18,2023-10-19,0,
138,PRIORITY ACCESS COAST,Care Home 019,2024-03-16,2024-03-18,0,
139,PRIORITY ACCESS NORTH SHORE,Care Home 008,2024-07-09,2024-07-15,0,
140,PRIORITY ACCESS VANCOUVER,Care Home 014,2023-05-28,2023-05-29,1,
141,PRIORITY ACCESS VANCOUVER,Care Home 009,2024-03-24,2024-03-25,0,
142,PRIORITY ACCESS VANCOUVER,Care Home 013,2024-08-07,2024-08-11,0,
143,PRIORITY ACCESS NORTH SHORE,Care Home 030,2023-10-21,2023-10-22,0,
144,PRIORITY ACCESS RICHMOND,Care Home 026,2024-04-16,2024-04-22,0,
145,PRIORITY ACCESS VANCOUVER,Care Home 018,2022-11-20,2022-11-24,0,
146,PRIORITY ACCESS RICHMOND,Care Home 003,2022-06-11,2022-06-14,0,
147,PRIORITY ACCESS VANCOUVER,Care Home 007,2025-01-20,2025-01-25,0,
148,PRIORITY ACCESS VANCOUVER,Care Home 027,2025-01-16,2025-01-23,0,
149,PRIORITY ACCESS VANCOUVER,Care Home 023,2023-04-05,2023-04-12,0,
150,PRIORITY ACCESS VANCOUVER,Care Home 027,2024-11-24,2024-11-27,0,
151,PRIORITY ACCESS NORTH SHORE,Care Home 016,2024-01-21,2024-01-26,1,
152,PRIORITY ACCESS VANCOUVER,Care Home 009,2023-03-10,2023-03-12,0,
153,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-06-04,2022-06-08,0,
154,PRIORITY ACCESS COAST,Care Home 020,2023-07-11,2023-07-18,0,Male
155,PRIORITY ACCESS RICHMOND,Care Home 015,2022-12-29,2023-01-04,0,Female
156,PRIORITY ACCESS RICHMOND,Care Home 015,2022-10-15,2022-10-17,0,
157,PRIORITY ACCESS RICHMOND,Care Home 017,2023-03-06,2023-03-13,0,
158,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-05-09,2022-05-16,1,
159,PRIORITY ACCESS COAST,Care Home 029,2022-05-25,2022-05-27,0,
160,PRIORITY ACCESS NORTH SHORE,Care Home 008,2023-10-02,2023-10-08,1,
161,PRIORITY ACCESS NORTH SHORE,Care Home 010,2024-02-06,2024-02-09,0,
162,PRIORITY ACCESS VANCOUVER,Care Home 014,2022-11-07,2022-11-14,0,
163,PRIORITY ACCESS NORTH SHORE,Care Home 010,2022-09-09,2022-09-10,0,
164,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-04-02,2022-04-03,0,
165,PRIORITY ACCESS NORTH SHORE,Care Home 016,2023-06-11,2023-06-15,0,
166,PRIORITY ACCESS NORTH SHORE,Care Home 016,2023-01-03,2023-01-05,0,
167,PRIORITY ACCESS NORTH SHORE,Care Home 010,2024-10-06,2024-10-11,0,
168,PRIORITY ACCESS NORTH SHORE,Care Home 008,2024-12-16,2024-12-20,0,
169,PRIORITY ACCESS NORTH SHORE,Care Home 002,2022-10-21,2022-10-23,1,
170,PRIORITY ACCESS NORTH SHORE,Care Home 001,2024-12-04,2024-12-05,1,
171,PRIORITY ACCESS NORTH SHORE,Care Home 001,2022-09-11,2022-09-12,1,
172,PRIORITY ACCESS RICHMOND,Care Home 003,2023-11-28,2023-11-30,1,
173,PRIORITY ACCESS VANCOUVER,Care Home 018,2023-01-24,2023-01-30,1,
174,PRIORITY ACCESS VANCOUVER,Care Home 027,2024-07-02,2024-07-09,0,
175,PRIORITY ACCESS RICHMOND,Care Home 026,2023-11-15,2023-11-19,0,
176,PRIORITY ACCESS RICHMOND,Care Home 003,2023-04-21,2023-04-27,0,
177,PRIORITY ACCESS NORTH SHORE,Care Home 025,2022-07-30,2022-08-04,0,
178,PRIORITY ACCESS COAST,Care Home 020,2023-03-05,2023-03-11,0,
179,PRIORITY ACCESS RICHMOND,Care Home 003,2023-05-14,2023-05-15,0,
180,PRIORITY ACCESS RICHMOND,Care Home 026,2024-04-24,2024-04-27,0,
181,PRIORITY ACCESS VANCOUVER,Care Home 023,2022-09-05,2022-09-10,1,
182,PRIORITY ACCESS COAST,Care Home 021,2024-04-08,2024-04-09,0,
183,PRIORITY ACCESS NORTH SHORE,Care Home 006,2023-01-08,2023-01-09,0,
184,PRIORITY ACCESS VANCOUVER,Care Home 018,2023-12-14,2023-12-17,0,
185,PRIORITY ACCESS NORTH SHORE,Care Home 004,2023-06-17,2023-06-21,0,
186,PRIORITY ACCESS RICHMOND,Care Home 022,2022-05-24,2022-05-28,0,
187,PRIORITY ACCESS VANCOUVER,Care Home 018,2025-02-04,2025-02-10,0,
188,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-12-03,2022-12-09,0,
189,PRIORITY ACCESS VANCOUVER,Care Home 027,2022-10-15,2022-10-19,0,
190,PRIORITY ACCESS NORTH SHORE,Care Home 016,2024-05-12,2024-05-18,0,
191,PRIORITY ACCESS VANCOUVER,Care Home 018,2022-09-07,2022-09-10,1,
192,PRIORITY ACCESS NORTH SHORE,Care Home 002,2024-07-26,2024-07-29,1,
193,PRIORITY ACCESS NORTH SHORE,Care Home 016,2024-07-01,2024-07-08,0,
194,PRIORITY ACCESS RICHMOND,Care Home 015,2022-09-07,2022-09-10,1,
195,PRIORITY ACCESS COAST,Care Home 029,2024-12-05,2024-12-12,1,Female
196,PRIORITY ACCESS VANCOUVER,Care Home 011,2023-08-14,2023-08-21,0,
197,PRIORITY ACCESS VANCOUVER,Care Home 023,2023-06-14,2023-06-18,0,
198,PRIORITY ACCESS RICHMOND,Care Home 017,2024-07-12,2024-07-19,0,
199,PRIORITY ACCESS VANCOUVER,Care Home 018,2024-04-14,2024-04-21,1,
200,PRIORITY ACCESS NORTH SHORE,Care Home 001,2022-11-04,2022-11-08,0,
201,PRIORITY ACCESS VANCOUVER,Care Home 023,2025-02-16,2025-02-19,0,
202,PRIORITY ACCESS COAST,Care Home 019,2023-05-26,2023-05-31,0,
203,PRIORITY ACCESS NORTH SHORE,Care Home 010,2023-05-15,2023-05-18,0,
204,PRIORITY ACCESS NORTH SHORE,Care Home 016,2023-08-12,2023-08-13,0,
205,PRIORITY ACCESS NORTH SHORE,Care Home 006,2024-06-27,2024-06-28,0,
206,PRIORITY ACCESS NORTH SHORE,Care Home 002,2023-03-28,2023-03-29,1,
207,PRIORITY ACCESS COAST,Care Home 029,2023-08-17,2023-08-23,0,
208,PRIORITY ACCESS RICHMOND,Care Home 015,2022-11-02,2022-11-09,0,
209,PRIORITY ACCESS NORTH SHORE,Care Home 006,2023-07-29,2023-07-31,0,
210,PRIORITY ACCESS RICHMOND,Care Home 003,2025-01-16,2025-01-18,1,
211,PRIORITY ACCESS COAST,Care Home 020,2022-12-06,2022-12-08,0,
212,PRIORITY ACCESS NORTH SHORE,Care Home 010,2024-10-20,2024-10-26,0,Male
213,PRIORITY ACCESS NORTH SHORE,Care Home 028,2023-04-13,2023-04-20,1,
214,PRIORITY ACCESS COAST,Care Home 029,2023-02-19,2023-02-21,0,
215,PRIORITY ACCESS RICHMOND,Care Home 017,2024-05-31,2024-06-05,1,
216,PRIORITY ACCESS RICHMOND,Care Home 003,2022-12-26,2022-12-30,0,
217,PRIORITY ACCESS NORTH SHORE,Care Home 005,2023-10-11,2023-10-17,0,
218,PRIORITY ACCESS RICHMOND,Care Home 026,2023-06-06,2023-06-07,1,
219,PRIORITY ACCESS VANCOUVER,Care Home 023,2024-01-03,2024-01-10,0,
220,PRIORITY ACCESS RICHMOND,Care Home 022,2022-07-16,2022-07-19,1,
221,PRIORITY ACCESS NORTH SHORE,Care Home 008,2024-02-22,2024-02-25,1,
222,PRIORITY ACCESS VANCOUVER,Care Home 027,2024-04-26,2024-04-27,0,
223,PRIORITY ACCESS RICHMOND,Care Home 026,2023-10-22,2023-10-26,1,
224,PRIORITY ACCESS VANCOUVER,Care Home 009,2022-09-19,2022-09-20,0,
225,PRIORITY ACCESS COAST,Care Home 029,2023-03-16,2023-03-20,0,
226,PRIORITY ACCESS RICHMOND,Care Home 012,2023-10-24,2023-10-30,1,
227,PRIORITY ACCESS VANCOUVER,Care Home 014,2022-10-12,2022-10-19,0,
228,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-09-22,2022-09-25,0,
229,PRIORITY ACCESS RICHMOND,Care Home 017,2024-10-18,2024-10-19,0,
230,PRIORITY ACCESS NORTH SHORE,Care Home 001,2023-03-09,2023-03-16,0,
231,PRIORITY ACCESS COAST,Care Home 019,2023-10-15,2023-10-19,0,
232,PRIORITY ACCESS NORTH SHORE,Care Home 005,2024-08-19,2024-08-25,1,
233,PRIORITY ACCESS VANCOUVER,Care Home 023,2024-08-30,2024-09-06,1,
234,PRIORITY ACCESS NORTH SHORE,Care Home 028,2023-03-31,2023-04-01,0,
235,PRIORITY ACCESS RICHMOND,Care Home 024,2024-02-08,2024-02-14,0,
236,PRIORITY ACCESS NORTH SHORE,Care Home 016,2023-07-11,2023-07-14,0,
237,PRIORITY ACCESS COAST,Care Home 020,2023-01-24,2023-01-26,0,
238,PRIORITY ACCESS RICHMOND,Care Home 024,2022-08-16,2022-08-20,0,
239,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-09-11,2022-09-18,0,
240,PRIORITY ACCESS RICHMOND,Care Home 022,2023-08-05,2023-08-08,0,
241,PRIORITY ACCESS COAST,Care Home 020,2024-01-14,2024-01-21,1,
242,PRIORITY ACCESS RICHMOND,Care Home 003,2024-03-23,2024-03-30,0,
243,PRIORITY ACCESS RICHMOND,Care Home 026,2023-02-03,2023-02-10,0,
244,PRIORITY ACCESS VANCOUVER,Care Home 014,2023-10-18,2023-10-24,0,
245,PRIORITY ACCESS COAST,Care Home 020,2024-04-30,2024-05-03,0,
246,PRIORITY ACCESS VANCOUVER,Care Home 027,2023-11-20,2023-11-22,0,
247,PRIORITY ACCESS RICHMOND,Care Home 022,2023-03-18,2023-03-21,0,
248,PRIORITY ACCESS COAST,Care Home 021,2023-06-09,2023-06-13,1,
249,PRIORITY ACCESS VANCOUVER,Care Home 014,2023-03-12,2023-03-17,0,
250,PRIORITY ACCESS NORTH SHORE,Care Home 010,2022-04-22,2022-04-29,0,
251,PRIORITY ACCESS NORTH SHORE,Care Home 010,2024-12-26,2025-01-02,0,
252,PRIORITY ACCESS NORTH SHORE,Care Home 006,2022-08-16,2022-08-23,0,
253,PRIORITY ACCESS VANCOUVER,Care Home 009,2023-01-25,2023-01-30,1,Female
254,PRIORITY ACCESS COAST,Care Home 029,2023-10-30,2023-11-03,0,Male
255,PRIORITY ACCESS RICHMOND,Care Home 022,2024-06-02,2024-06-04,0,
256,PRIORITY ACCESS RICHMOND,Care Home 022,2025-02-03,2025-02-07,1,
257,PRIORITY ACCESS RICHMOND,Care Home 012,2023-10-27,2023-10-30,0,
258,PRIORITY ACCESS VANCOUVER,Care Home 011,2023-07-17,2023-07-19,0,
259,PRIORITY ACCESS COAST,Care Home 029,2024-09-29,2024-10-03,0,
260,PRIORITY ACCESS NORTH SHORE,Care Home 025,2023-03-22,2023-03-28,0,Female
261,PRIORITY ACCESS NORTH SHORE,Care Home 008,2023-03-03,2023-03-09,0,Male
262,PRIORITY ACCESS NORTH SHORE,Care Home 030,2024-06-23,2024-06-25,0,
263,PRIORITY ACCESS VANCOUVER,Care Home 023,2024-04-15,2024-04-17,0,
264,PRIORITY ACCESS NORTH SHORE,Care Home 010,2022-12-31,2023-01-04,1,
265,PRIORITY ACCESS VANCOUVER,Care Home 018,2024-03-01,2024-03-07,1,
266,PRIORITY ACCESS VANCOUVER,Care Home 011,2022-04-08,2022-04-09,0,
267,PRIORITY ACCESS VANCOUVER,Care Home 011,2022-12-06,2022-12-07,1,
268,PRIORITY ACCESS NORTH SHORE,Care Home 004,2023-05-21,2023-05-25,1,
269,PRIORITY ACCESS NORTH SHORE,Care Home 030,2022-04-29,2022-05-02,0,
270,PRIORITY ACCESS VANCOUVER,Care Home 009,2025-02-08,2025-02-13,0,
271,PRIORITY ACCESS RICHMOND,Care Home 003,2022-12-22,2022-12-24,0,
272,PRIORITY ACCESS VANCOUVER,Care Home 014,2022-07-29,2022-08-03,0,
273,PRIORITY ACCESS NORTH SHORE,Care Home 025,2023-09-22,2023-09-26,0,
274,PRIORITY ACCESS RICHMOND,Care Home 024,2024-02-25,2024-02-26,0,Male
275,PRIORITY ACCESS NORTH SHORE,Care Home 030,2022-07-22,2022-07-23,0,
276,PRIORITY ACCESS NORTH SHORE,Care Home 010,2023-03-06,2023-03-09,1,
277,PRIORITY ACCESS VANCOUVER,Care Home 014,2023-04-28,2023-05-03,0,
278,PRIORITY ACCESS COAST,Care Home 021,2024-09-03,2024-09-10,0,
279,PRIORITY ACCESS NORTH SHORE,Care Home 025,2022-12-07,2022-12-13,0,
280,PRIORITY ACCESS VANCOUVER,Care Home 007,2024-11-07,2024-11-09,1,
281,PRIORITY ACCESS NORTH SHORE,Care Home 005,2023-03-14,2023-03-16,1,
282,PRIORITY ACCESS NORTH SHORE,Care Home 016,2022-05-27,2022-05-29,0,
283,PRIORITY ACCESS NORTH SHORE,Care Home 001,2022-07-15,2022-07-16,0,
284,PRIORITY ACCESS VANCOUVER,Care Home 011,2022-09-26,2022-09-27,0,
285,PRIORITY ACCESS NORTH SHORE,Care Home 005,2023-11-11,2023-11-15,1,
286,PRIORITY ACCESS VANCOUVER,Care Home 013,2023-05-26,2023-05-30,0,
287,PRIORITY ACCESS VANCOUVER,Care Home 023,2022-11-01,2022-11-05,0,
288,PRIORITY ACCESS NORTH SHORE,Care Home 010,2023-04-27,2023-04-30,0,
289,PRIORITY ACCESS VANCOUVER,Care Home 007,2025-01-19,2025-01-20,1,
290,PRIORITY ACCESS NORTH SHORE,Care Home 005,2022-10-04,2022-10-05,0,
291,PRIORITY ACCESS NORTH SHORE,Care Home 025,2024-09-26,2024-09-27,0,
292,PRIORITY ACCESS NORTH SHORE,Care Home 028,2023-05-24,2023-05-26,0,Male
293,PRIORITY ACCESS VANCOUVER,Care Home 027,2023-07-29,2023-07-31,0,
294,PRIORITY ACCESS COAST,Care Home 029,2023-02-02,2023-02-04,0,
295,PRIORITY ACCESS VANCOUVER,Care Home 023,2023-05-14,2023-05-20,1,
296,PRIORITY ACCESS NORTH SHORE,Care Home 016,2022-05-23,2022-05-30,0,
297,PRIORITY ACCESS COAST,Care Home 019,2023-02-02,2023-02-05,0,
298,PRIORITY ACCESS VANCOUVER,Care Home 011,2023-11-19,2023-11-21,0,
299,PRIORITY ACCESS RICHMOND,Care Home 012,2022-09-21,2022-09-24,0,
300,PRIORITY ACCESS RICHMOND,Care Home 026,2022-06-10,2022-06-13,0,
301,PRIORITY ACCESS NORTH SHORE,Care Home 001,2024-07-02,2024-07-07,0,
302,PRIORITY ACCESS RICHMOND,Care Home 003,2023-08-14,2023-08-20,1,Female
303,PRIORITY ACCESS RICHMOND,Care Home 015,2023-03-29,2023-03-31,1,
304,PRIORITY ACCESS NORTH SHORE,Care Home 010,2024-03-24,2024-03-25,1,
305,PRIORITY ACCESS VANCOUVER,Care Home 007,2022-07-21,2022-07-24,1,
306,PRIORITY ACCESS COAST,Care Home 020,2024-10-03,2024-10-05,1,
307,PRIORITY ACCESS NORTH SHORE,Care Home 010,2023-10-12,2023-10-15,0,
308,PRIORITY ACCESS VANCOUVER,Care Home 013,2022-11-05,2022-11-11,1,Female
309,PRIORITY ACCESS VANCOUVER,Care Home 027,2024-06-11,2024-06-12,0,
