UniqueCharacteristicID,VacancyID,RoomCharacteristic
68,174,WHEELCHAIR ACCESSIBLE
69,180,WHEELCHAIR ACCESSIBLE
70,186,CEILING LIFT
71,189,WHEELCHAIR ACCESSIBLE
72,190,CEILING LIFT
73,190,WHEELCHAIR ACCESSIBLE
74,200,CEILING LIFT
75,201,CEILING LIFT
76,202,WHEELCHAIR ACCESSIBLE
77,211,CEILING LIFT
78,212,WHEELCHAIR ACCESSIBLE
79,213,CEILING LIFT
80,214,WHEELCHAIR ACCESSIBLE
81,219,CEILING LIFT
82,220,CEILING LIFT
83,221,CEILING LIFT
84,223,WHEELCHAIR ACCESSIBLE
85,227,WHEELCHAIR ACCESSIBLE
86,231,WHEELCHAIR ACCESSIBLE
87,233,WHEELCHAIR ACCESSIBLE
88,235,CEILING LIFT
89,235,WHEELCHAIR ACCESSIBLE
90,240,WHEELCHAIR ACCESSIBLE
91,241,CEILING LIFT
92,243,WHEELCHAIR ACCESSIBLE
93,245,WHEELCHAIR ACCESSIBLE
94,260,CEILING LIFT
95,265,WHEELCHAIR ACCESSIBLE
96,273,CEILING LIFT
97,278,CEILING LIFT
98,279,WHEELCHAIR ACCESSIBLE
99,280,CEILING LIFT
100,281,CEILING LIFT
101,296,CEILING LIFT
102,300,CEILING LIFT
103,304,CEILING LIFT
104,311,CEILING LIFT
105,311,WHEELCHAIR ACCESSIBLE
106,315,CEILING LIFT
107,317,CEILING LIFT
108,323,CEILING LIFT
109,329,CEILING LIFT
110,332,CEILING LIFT
111,335,CEILING LIFT
112,336,CEILING LIFT
113,336,WHEELCHAIR ACCESSIBLE
114,342,CEILING LIFT
115,344,CEILING LIFT
116,348,CEILING LIFT
117,354,CEILING LIFT
118,355,CEILING LIFT
119,357,CEILING LIFT
120,359,WHEELCHAIR ACCESSIBLE
121,360,WHEELCHAIR ACCESSIBLE
122,363,CEILING LIFT
123,363,WHEELCHAIR ACCESSIBLE
124,366,WHEELCHAIR ACCESSIBLE
125,367,CEILING LIFT
126,385,CEILING LIFT
127,386,WHEELCHAIR ACCESSIBLE
128,389,WHEELCHAIR ACCESSIBLE
129,394,CEILING LIFT
130,395,WHEELCHAIR ACCESSIBLE
131,396,WHEELCHAIR ACCESSIBLE
132,403,CEILING LIFT
133,404,WHEELCHAIR ACCESSIBLE
134,408,CEILING LIFT
135,410,WHEELCHAIR ACCESSIBLE
136,411,CEILING LIFT
137,414,WHEELCHAIR ACCESSIBLE
138,416,CEILING LIFT
139,416,WHEELCHAIR ACCESSIBLE
140,417,CEILING LIFT
141,420,CEILING LIFT
142,421,CEILING LIFT
143,426,CEILING LIFT
144,433,CEILING LIFT
145,444,CEILING LIFT
146,445,CEILING LIFT
147,451,CEILING LIFT
148,452,WHEELCHAIR ACCESSIBLE
149,453,WHEELCHAIR ACCESSIBLE
150,457,CEILING LIFT
151,464,CEILING LIFT
152,481,CEILING LIFT
153,484,CEILING LIFT
154,484,WHEELCHAIR ACCESSIBLE
155,485,CEILING LIFT
156,488,CEILING LIFT
157,491,WHEELCHAIR ACCESSIBLE
158,495,CEILING LIFT
159,497,CEILING LIFT
160,498,CEILING LIFT
161,499,CEILING LIFT
162,500,CEILING LIFT
163,501,CEILING LIFT
164,501,WHEELCHAIR ACCESSIBLE
165,502,WHEELCHAIR ACCESSIBLE
166,503,CEILING LIFT
167,504,WHEELCHAIR ACCESSIBLE
168,507,CEILING LIFT
169,510,WHEELCHAIR ACCESSIBLE
170,512,CEILING LIFT
171,512,WHEELCHAIR ACCESSIBLE
172,514,CEILING LIFT
173,517,CEILING LIFT
174,518,CEILING LIFT
175,520,CEILING LIFT
176,521,CEILING LIFT
177,523,WHEELCHAIR ACCESSIBLE
178,525,CEILING LIFT
179,549,CEILING LIFT
180,551,CEILING LIFT
181,551,WHEELCHAIR ACCESSIBLE
182,558,WHEELCHAIR ACCESSIBLE
183,559,CEILING LIFT
184,561,CEILING LIFT
185,567,CEILING LIFT
186,577,CEILING LIFT
187,582,CEILING LIFT
188,585,WHEELCHAIR ACCESSIBLE
189,587,WHEELCHAIR ACCESSIBLE
190,592,CEILING LIFT
191,593,CEILING LIFT
192,597,WHEELCHAIR ACCESSIBLE
193,605,CEILING LIFT
194,608,CEILING LIFT
195,608,WHEELCHAIR ACCESSIBLE
196,609,WHEELCHAIR ACCESSIBLE
197,614,CEILING LIFT
198,618,CEILING LIFT
199,621,CEILING LIFT
200,622,CEILING LIFT
201,623,CEILING LIFT
202,625,CEILING LIFT
203,626,CEILING LIFT
204,628,CEILING LIFT
205,630,CEILING LIFT
206,631,WHEELCHAIR ACCESSIBLE
207,632,CEILING LIFT
208,638,CEILING LIFT
209,640,CEILING LIFT
210,642,CEILING LIFT
211,642,WHEELCHAIR ACCESSIBLE
212,652,CEILING LIFT
213,654,WHEELCHAIR ACCESSIBLE
214,656,CEILING LIFT
215,657,CEILING LIFT
216,659,WHEELCHAIR ACCESSIBLE
217,660,CEILING LIFT
218,660,WHEELCHAIR ACCESSIBLE
219,666,WHEELCHAIR ACCESSIBLE
220,667,CEILING LIFT
221,671,WHEELCHAIR ACCESSIBLE
222,676,CEILING LIFT
223,677,WHEELCHAIR ACCESSIBLE
224,680,WHEELCHAIR ACCESSIBLE
225,682,CEILING LIFT
226,682,WHEELCHAIR ACCESSIBLE
227,683,CEILING LIFT
228,685,CEILING LIFT
229,690,CEILING LIFT
230,691,CEILING LIFT
231,697,CEILING LIFT
232,700,CEILING LIFT
233,701,CEILING LIFT
234,702,CEILING LIFT
235,703,CEILING LIFT
236,704,CEILING LIFT
237,708,CEILING LIFT
238,715,WHEELCHAIR ACCESSIBLE
239,719,CEILING LIFT
240,720,CEILING LIFT
241,721,CEILING LIFT
242,723,CEILING LIFT
243,723,WHEELCHAIR ACCESSIBLE
244,725,CEILING LIFT
245,728,CEILING LIFT
246,729,CEILING LIFT
247,734,WHEELCHAIR ACCESSIBLE
248,739,CEILING LIFT
249,743,WHEELCHAIR ACCESSIBLE
250,747,CEILING LIFT
251,751,CEILING LIFT
252,758,CEILING LIFT
253,761,CEILING LIFT
254,764,WHEELCHAIR ACCESSIBLE
255,768,CEILING LIFT
256,771,CEILING LIFT
257,774,WHEELCHAIR ACCESSIBLE
258,782,CEILING LIFT
259,784,WHEELCHAIR ACCESSIBLE
260,785,CEILING LIFT
261,789,WHEELCHAIR ACCESSIBLE
262,790,WHEELCHAIR ACCESSIBLE
263,793,WHEELCHAIR ACCESSIBLE
264,798,CEILING LIFT
